output,input,instruction
"Squamous cell carcinoma of the lung may be classified according to the WHO histological classification system into 4 main types: papillary, clear cell, small cell, and basaloid.",Can you provide an overview of the lung's squamous cell carcinoma?,Answer this question truthfully
"Clear cell tumors are part of the surface epithelial-stromal tumor group of Ovarian cancers, accounting for 6% of these neoplastic cases. Clear cell tumors are also associated with the pancreas and salivary glands.
Benign and borderline variants of this neoplasm are rare, and most cases are malignant.
Typically, they are cystic neoplasms with polypoid masses that protrude into the cyst.
On microscopic pathological examination, they are composed of cells with clear cytoplasm (that contains glycogen) and hob nail cells (from which the glycogen has been secreted).
The pattern may be glandular, papillary or solid.","What does ""Clear: cell"" mean?",Answer this question truthfully
Two Japanese scientists commenced research into inhibitors of HMG-CoA reductase in 1971 reasoning that organisms might produce such products as the enzyme is important in some essential cell wall components. This work lead to the identification of the first clinically useful compound lovastatin(mevinolin)  from a mould in the mid 1970's. This agent was first used in the more severe forms of hypercholesteraemia in the 1980s followed by landmark trials  with simvastatin that showed the potential for cardio-prevention. Cerivastatin was withdrawn in 2001 because of a ten times higher incidence of rhabdomyolysis than the other statins.,Can you provide me with information regarding statins?,Answer this question truthfully
"Symptoms of vulvovaginitis caused by Candida species are indistinguishable and include the following:   
Pruritus is the most significant symptom Change in the amount and the color of vaginal discharge: It is characterized by a thick, white ""cottage cheese-like"" vaginal discharge Pain on urination (dysuria) Pain on sexual intercourse (dyspareunia) Vulvovaginal soreness Symptoms aggravate a week before the menses",What are the historical background and symptoms of Candida-induced vulvovaginitis?,Answer this question truthfully
"Hypotension is the term for low blood pressure (BP). A systolic BP measuring less than 90mmHg and/ or diastolic BP of less than 60mmHg is considered hypotension. A difference of 20 mmHg systolic BP and 10 mmHg diastolic BP is considered orthostatic hypotension (OH). Orthostatic hypotension is the most common type of hypotension, and neurogenic hypotension is demonstrated among 1/3rd of the individuals with OH. A decrease in blood pressure can be life-threatening in conditions such as anaphylaxis and addisonian crisis, and requires prompt treatment. It is important to access the possibility of head injury in a patient with syncope due to hypotension. ECG is an important and essential component of the evaluation of hypotension. Shock requires prompt management with fluids and vasopressors. For other causes of hypotension, identifying the cause and treatment is the best strategy. Lifestyle modifications are usually the first step in management. Medications causing a drop in blood pressure should be discontinued or changed to an appropriate alternative.","What does the ""Hypotension: Resident Survival Guide"" refer to?",Answer this question truthfully
"Acute healthcare facilities can serve one of three roles: frontline healthcare facilities, Ebola assessment hospitals, and Ebola treatment centers. To create a coordinated, networked approach, state and local health officials, in collaboration with hospital and healthcare facility executives, may designate healthcare facilities across the state to serve in one of three suggested roles outlined in this guidance document. Whereas a three-tiered approach is not obligatory, it strongly encouraged to identify Ebola assessment hospitals that can successfully manage PUIs until an EVD diagnosis is either confirmed or ruled out while awaiting transfer to an Ebola treatment center.",How prepared are hospitals for Ebola?,Answer this question truthfully
"Hashimoto's thyroiditis must be differentiated from other causes of thyroiditis, such as De Quervain's thyroiditis, Riedel's thyroiditis, and suppurative thyroiditis. Hashimoto's thyroiditis must be differentiated from other causes of thyroiditis, such as De Quervain's thyroiditis, Riedel's thyroiditis, and suppurative thyroiditis. Hashimoto's thyroiditis must also be differentiated from other diseases which cause hypothyroidism. As Hashimoto's thyroiditis may cause transient thyrotoxic symptoms, the diseases causing thyrotoxicosis must also be considered in the differential diagnosis.",Can you provide a brief summary of Hashimoto's thyroiditis?,Answer this question truthfully
"The health care provider will perform a physical exam.
There may be signs of:
Delayed puberty Cardiomegaly Stunted growth or failure to grow Cardiomyopathy Muscle weakness
Tests that may be done include:
Genetic testing Liver function test Creatine kinase levels Lactate dehydrogenase levels Urinary glc4 Acid alpha-glucosidase in fibroblasts
Testing reveals high levels of creatine kinase, liver enzymes, lactate dehydrogenase, urinary glc4 and decreased levels of acid alpha-glucosidase in fibroblasts.",What is the information regarding storage disease type II and glycogen?,Answer this question truthfully
The mainstay of therapy for lymphangioma is surgery. Treatment for lymphangioma involves the removal of the abnormal tissue; however complete removal may be impossible without removing other normal areas. Most patients need at least two procedures done for the removal process to be achieved.,What is the proper treatment for Lymphangioma?,Answer this question truthfully
"Complications, including sepsis, respiratory failure, pleural effusion, and empyema, may occur despite appropriate antibiotic treatment. Complications are associated with bacterial pneumonia more frequently than they are with viral pneumonia. Most types of bacterial pneumonia can be cured within one to two weeks of appropriate medication. Viral pneumonia may last longer, and mycoplasmal pneumonia may take four to six weeks to resolve completely. The eventual outcome of an episode of pneumonia depends on how ill the person is when he or she is first diagnosed.",What is the definition of community-acquired pneumonia?,Answer this question truthfully
